customer_id,city,state,age,gender
1,Pune,Karnataka,57,M
2,Hyderabad,Maharashtra,24,M
3,Chennai,Maharashtra,49,M
4,Pune,Maharashtra,36,M
5,Bengaluru,Telangana,23,M
6,Ahmedabad,Maharashtra,37,M
7,Chennai,Tamil Nadu,44,F
8,Chennai,Karnataka,54,F
9,Pune,Gujarat,24,F
10,Mumbai,Maharashtra,22,F
11,Bengaluru,Delhi,28,M
12,Pune,Gujarat,32,F
13,Bengaluru,Telangana,20,M
14,Bengaluru,Tamil Nadu,22,F
15,Ahmedabad,Delhi,40,F
16,Chennai,Delhi,54,M
17,Hyderabad,Delhi,26,M
18,Ahmedabad,Delhi,32,F
19,Ahmedabad,Gujarat,20,F
20,Bengaluru,Gujarat,46,F
21,Kolkata,Karnataka,23,F
22,Chennai,Maharashtra,34,M
23,Mumbai,West Bengal,43,F
24,Ahmedabad,Karnataka,38,F
25,Hyderabad,Karnataka,25,F
26,Kolkata,Tamil Nadu,38,F
27,Kolkata,Tamil Nadu,28,F
28,Mumbai,Maharashtra,55,M
29,Ahmedabad,West Bengal,25,M
30,Hyderabad,Tamil Nadu,59,M
31,Chennai,Maharashtra,41,M
32,Delhi,Maharashtra,52,M
33,Hyderabad,Gujarat,31,F
34,Mumbai,Maharashtra,31,M
35,Kolkata,Gujarat,27,M
36,Chennai,West Bengal,29,F
37,Hyderabad,Tamil Nadu,55,M
38,Delhi,West Bengal,51,M
39,Delhi,Karnataka,58,M
40,Bengaluru,Karnataka,27,M
41,Bengaluru,West Bengal,34,F
42,Pune,Maharashtra,34,F
43,Mumbai,Maharashtra,20,M
44,Ahmedabad,Gujarat,48,F
45,Hyderabad,West Bengal,18,M
46,Hyderabad,Tamil Nadu,29,F
47,Ahmedabad,Gujarat,56,F
48,Pune,Telangana,21,F
49,Kolkata,Maharashtra,59,F
50,Kolkata,Delhi,30,F
51,Pune,Gujarat,51,F
52,Kolkata,Karnataka,59,F
53,Bengaluru,Gujarat,38,F
54,Hyderabad,West Bengal,39,F
55,Pune,Delhi,21,F
56,Hyderabad,West Bengal,35,F
57,Ahmedabad,Maharashtra,22,M
58,Delhi,Karnataka,36,F
59,Bengaluru,Karnataka,19,M
60,Chennai,Maharashtra,29,F
61,Bengaluru,Gujarat,34,M
62,Pune,Maharashtra,27,M
63,Chennai,Delhi,51,M
64,Delhi,Gujarat,23,F
65,Pune,Maharashtra,25,F
66,Mumbai,West Bengal,28,F
67,Hyderabad,Maharashtra,29,F
