order_id,order_date,customer_id,product_id,store_id,quantity,discount_pct,category,selling_price
1,2023-02-21,2145,75,4,4,0.05,Tablet,42445.05
2,2023-07-28,1393,59,1,1,0.05,Smartphone,35101.55
3,2023-11-03,4885,73,16,2,0.0,Smartphone,54348.0
4,2023-05-11,858,22,7,4,0.0,Laptop,90919.0
5,2023-09-27,4278,68,5,3,0.0,Smartphone,22531.0
6,2023-07-24,4008,116,2,2,0.2,Smartphone,31460.8
7,2023-08-07,4859,147,6,3,0.0,Smartphone,57246.0
8,2023-09-14,2980,64,17,2,0.1,Tablet,10010.7
9,2023-07-04,4679,9,3,2,0.05,Accessory,2699.9
10,2023-05-25,3668,63,4,2,0.2,Smartphone,18072.0
11,2023-06-27,4977,145,14,2,0.0,Smartphone,22357.0
12,2023-01-14,4404,119,16,1,0.05,Accessory,3622.35
13,2023-09-03,1700,44,12,2,0.0,Laptop,61038.0
14,2023-07-06,3617,107,13,4,0.0,Laptop,41566.0
15,2023-12-03,2101,40,5,3,0.05,Accessory,3047.6
16,2023-09-16,2264,104,19,4,0.1,Accessory,3229.2
17,2023-12-20,714,12,2,1,0.2,Smartphone,45991.2
18,2023-02-09,2086,51,13,3,0.05,Tablet,38765.7
19,2023-03-30,1452,50,6,1,0.2,Laptop,94328.0
20,2023-05-05,1398,79,17,3,0.15,Smartphone,42502.55
21,2023-12-17,4896,24,12,3,0.05,Laptop,110473.6
22,2023-01-09,425,54,8,2,0.1,Smartphone,38248.2
23,2023-12-16,1029,53,10,1,0.05,Laptop,55530.35
24,2023-03-25,691,49,19,2,0.0,Laptop,91377.0
25,2023-01-21,4011,124,18,1,0.2,Accessory,3746.4
26,2023-10-08,3580,117,11,4,0.2,Laptop,52911.2
27,2023-12-24,2828,90,9,1,0.15,Accessory,2317.1
28,2023-06-21,3525,127,14,1,0.15,Smartphone,14030.95
29,2023-01-25,200,125,12,1,0.05,Accessory,4024.2
30,2023-04-13,776,34,20,3,0.0,Laptop,53066.0
31,2023-07-09,226,146,15,2,0.05,Laptop,48608.65
32,2023-08-24,4567,88,13,2,0.05,Smartphone,17913.2
33,2023-11-09,2066,72,6,4,0.15,Laptop,70485.4
34,2023-02-06,1779,129,10,2,0.1,Accessory,391.5
35,2023-09-29,629,10,1,4,0.15,Accessory,3410.2
36,2023-10-20,2058,100,11,4,0.2,Smartphone,20942.4
37,2023-11-28,41,41,20,1,0.0,Smartphone,24329.0
38,2023-06-01,2092,7,18,2,0.0,Smartphone,56057.0
39,2023-10-09,2245,51,6,4,0.1,Tablet,36725.4
40,2023-01-20,299,93,16,3,0.05,Laptop,84090.2
41,2023-05-17,4305,26,12,3,0.2,Smartphone,12905.6
42,2023-12-25,459,119,17,1,0.2,Accessory,3050.4
43,2023-01-29,879,40,16,2,0.1,Accessory,2887.2
44,2023-01-31,1811,96,20,3,0.1,Smartphone,15584.4
45,2023-01-19,789,33,6,3,0.0,Smartphone,36680.0
46,2023-05-28,3896,82,19,1,0.1,Laptop,86002.2
47,2023-10-10,383,103,17,3,0.1,Smartphone,13539.6
48,2023-12-16,1451,86,9,3,0.0,Accessory,410.0
49,2023-12-07,3416,15,14,2,0.2,Smartphone,13852.0
50,2023-10-27,2596,105,19,1,0.15,Laptop,85373.15
51,2023-06-12,4603,141,2,1,0.05,Laptop,100305.75
52,2023-04-23,3590,22,3,3,0.05,Laptop,86373.05
53,2023-05-30,330,86,6,4,0.0,Accessory,410.0
54,2023-11-26,3055,64,17,3,0.15,Tablet,9454.55
55,2023-09-12,2536,93,19,1,0.1,Laptop,79664.4
56,2023-03-28,4910,131,4,2,0.1,Laptop,65359.8
57,2023-12-16,1020,19,13,3,0.05,Smartphone,42156.25
58,2023-04-08,3509,49,9,1,0.05,Laptop,86808.15
59,2023-05-12,3822,100,4,1,0.05,Smartphone,24869.1
60,2023-11-08,4530,14,15,3,0.1,TV,24678.0
61,2023-04-07,1828,115,9,2,0.2,Accessory,1187.2
62,2023-04-08,4112,134,20,3,0.0,Tablet,27141.0
63,2023-10-17,620,42,18,2,0.2,Smartphone,36430.4
64,2023-12-22,689,3,7,2,0.1,Smartphone,25003.8
65,2023-08-15,2113,137,4,1,0.15,Laptop,50962.6
66,2023-05-25,4671,3,5,4,0.0,Smartphone,27782.0
67,2023-06-05,820,81,2,1,0.05,Tablet,31436.45
68,2023-09-27,2252,27,9,2,0.05,Smartphone,50918.1
69,2023-06-11,2302,51,17,4,0.0,Tablet,40806.0
70,2023-04-22,3644,14,20,2,0.1,TV,24678.0
71,2023-11-27,2661,101,5,3,0.15,Tablet,19338.35
72,2023-07-04,2243,4,11,2,0.1,Laptop,104726.7
73,2023-07-24,2299,139,20,4,0.0,Laptop,36528.0
74,2023-04-07,3555,61,18,3,0.15,Smartphone,18109.25
75,2023-02-24,955,86,16,1,0.2,Accessory,328.0
76,2023-04-27,3942,115,6,4,0.1,Accessory,1335.6
77,2023-04-03,4749,33,8,1,0.2,Smartphone,29344.0
78,2023-10-20,4371,106,12,3,0.2,Tablet,7391.2
79,2023-07-23,1248,32,20,1,0.05,Laptop,58231.2
80,2023-10-09,4635,2,8,4,0.05,Smartphone,47136.15
81,2023-07-08,1274,95,8,2,0.2,Laptop,63283.2
82,2023-11-19,13,135,13,3,0.2,Laptop,51756.8
83,2023-03-25,4706,62,2,3,0.2,Accessory,2420.8
84,2023-06-29,2240,12,8,1,0.2,Smartphone,45991.2
85,2023-10-01,698,67,16,3,0.15,Laptop,92850.6
86,2023-06-30,2067,80,20,3,0.2,Smartphone,13439.2
87,2023-06-30,2387,22,11,2,0.05,Laptop,86373.05
88,2023-10-10,4675,142,12,4,0.2,Smartphone,36492.8
89,2023-10-14,2074,77,17,1,0.2,TV,47110.4
90,2023-04-16,3078,16,5,2,0.15,Tablet,11373.85
91,2023-05-09,3213,92,11,4,0.15,Accessory,3976.3
92,2023-09-19,3814,71,8,1,0.1,Laptop,36488.7
93,2023-01-11,1051,18,6,2,0.2,Tablet,29632.0
94,2023-06-11,2153,79,9,1,0.05,Smartphone,47502.85
95,2023-06-30,3928,47,7,2,0.15,Accessory,2067.2
96,2023-08-01,2832,51,6,2,0.2,Tablet,32644.8
97,2023-10-01,2351,39,6,4,0.05,Smartphone,50595.1
98,2023-01-21,3149,145,20,4,0.1,Smartphone,20121.3
99,2023-10-02,3090,104,15,4,0.15,Accessory,3049.8
100,2023-09-17,3642,116,8,4,0.15,Smartphone,33427.1
101,2023-11-29,2690,60,2,3,0.05,Accessory,4323.45
102,2023-04-26,174,6,3,2,0.05,Smartphone,46472.1
103,2023-01-25,1425,46,12,4,0.2,Tablet,35108.8
104,2023-11-29,3904,69,18,2,0.1,Smartphone,35764.2
105,2023-09-11,449,33,9,4,0.0,Smartphone,36680.0
106,2023-07-30,1451,85,19,4,0.0,Laptop,39111.0
107,2023-11-01,4174,117,10,3,0.05,Laptop,62832.05
108,2023-11-17,2487,121,20,3,0.2,Laptop,86121.6
109,2023-12-05,782,20,2,1,0.1,Laptop,102627.0
110,2023-09-14,3569,37,6,1,0.15,Smartphone,17895.9
111,2023-06-17,172,27,19,2,0.0,Smartphone,53598.0
112,2023-12-03,3770,63,16,4,0.0,Smartphone,22590.0
113,2023-01-21,2409,132,15,2,0.2,Smartphone,40108.0
114,2023-03-27,2284,58,19,4,0.05,Laptop,59440.55
115,2023-01-15,433,15,18,3,0.1,Smartphone,15583.5
116,2023-02-19,2786,84,20,4,0.15,Smartphone,37117.8
117,2023-10-31,4946,58,10,4,0.05,Laptop,59440.55
118,2023-11-01,1860,60,13,1,0.2,Accessory,3640.8
119,2023-07-15,1351,128,6,1,0.05,Accessory,2731.25
120,2023-12-30,3920,80,5,1,0.15,Smartphone,14279.15
121,2023-10-28,2675,111,13,4,0.0,Smartphone,19025.0
122,2023-10-15,549,91,16,4,0.0,Laptop,49497.0
123,2023-09-02,3575,5,9,2,0.0,Smartphone,21431.0
124,2023-12-19,3639,92,11,1,0.2,Accessory,3742.4
125,2023-07-20,167,2,5,4,0.15,Smartphone,42174.45
126,2023-07-12,3513,3,18,4,0.15,Smartphone,23614.7
127,2023-12-02,3761,41,19,2,0.1,Smartphone,21896.1
128,2023-05-26,2401,150,12,3,0.1,Accessory,2896.2
129,2023-11-06,3171,62,2,4,0.1,Accessory,2723.4
130,2023-05-07,1648,113,1,3,0.15,Accessory,763.3
131,2023-06-24,3190,48,17,4,0.2,Accessory,1607.2
132,2023-05-14,3746,115,5,2,0.05,Accessory,1409.8
133,2023-03-07,4449,133,4,3,0.05,Laptop,67125.1
134,2023-12-31,2622,132,12,2,0.15,Smartphone,42614.75
135,2023-10-06,3402,33,20,4,0.2,Smartphone,29344.0
136,2023-09-03,4835,81,19,3,0.0,Tablet,33091.0
137,2023-12-29,543,50,14,3,0.2,Laptop,94328.0
138,2023-08-25,1340,115,14,2,0.15,Accessory,1261.4
139,2023-06-20,3585,8,8,2,0.15,Smartphone,18271.6
140,2023-02-20,568,141,8,1,0.0,Laptop,105585.0
141,2023-11-24,3539,26,16,2,0.0,Smartphone,16132.0
142,2023-12-25,2746,35,9,2,0.1,Smartphone,36802.8
143,2023-06-02,3675,105,17,4,0.2,Laptop,80351.2
144,2023-03-21,1941,27,17,2,0.1,Smartphone,48238.2
145,2023-05-25,4779,46,10,4,0.1,Tablet,39497.4
146,2023-10-01,1761,34,3,3,0.0,Laptop,53066.0
147,2023-06-04,2230,94,15,3,0.0,Accessory,2831.0
148,2023-12-03,3946,119,13,4,0.0,Accessory,3813.0
149,2023-12-29,2702,17,2,1,0.2,Smartphone,17197.6
150,2023-11-21,1029,44,5,3,0.05,Laptop,57986.1
151,2023-12-02,4481,61,10,2,0.05,Smartphone,20239.75
152,2023-05-23,3704,3,13,3,0.1,Smartphone,25003.8
153,2023-10-25,742,23,13,2,0.15,Smartphone,24607.5
154,2023-02-03,1776,135,4,3,0.0,Laptop,64696.0
155,2023-10-31,2235,88,20,2,0.05,Smartphone,17913.2
156,2023-08-27,1614,126,18,3,0.05,Accessory,1899.05
157,2023-05-18,3537,43,16,2,0.1,Laptop,55903.5
158,2023-09-11,558,76,1,3,0.2,Laptop,91294.4
159,2023-01-05,4211,54,11,1,0.1,Smartphone,38248.2
160,2023-06-25,1368,39,1,2,0.2,Smartphone,42606.4
161,2023-08-02,858,95,15,3,0.2,Laptop,63283.2
162,2023-12-30,3022,30,11,1,0.15,Accessory,2524.5
163,2023-01-23,4335,49,18,3,0.05,Laptop,86808.15
164,2023-11-14,1811,105,16,3,0.2,Laptop,80351.2
165,2023-01-13,2357,86,11,2,0.0,Accessory,410.0
166,2023-08-29,4066,143,2,2,0.05,Laptop,52735.45
167,2023-10-03,4158,87,12,2,0.15,Smartphone,16162.75
168,2023-04-02,4802,98,13,3,0.0,Laptop,64954.0
169,2023-04-18,3440,43,1,2,0.1,Laptop,55903.5
170,2023-08-17,3507,84,19,4,0.1,Smartphone,39301.2
171,2023-06-01,4388,42,12,1,0.0,Smartphone,45538.0
172,2023-04-18,747,93,6,1,0.1,Laptop,79664.4
173,2023-10-16,241,92,8,2,0.0,Accessory,4678.0
174,2023-06-25,1153,72,5,1,0.05,Laptop,78777.8
175,2023-11-16,953,48,16,2,0.15,Accessory,1707.65
176,2023-10-13,3940,98,19,1,0.0,Laptop,64954.0
177,2023-12-30,2575,24,6,3,0.2,Laptop,93030.4
178,2023-11-25,3301,35,19,4,0.05,Smartphone,38847.4
179,2023-12-31,3216,113,8,1,0.0,Accessory,898.0
180,2023-08-29,4838,7,15,2,0.1,Smartphone,50451.3
181,2023-05-25,176,52,3,4,0.05,Accessory,1496.25
182,2023-12-22,1077,77,3,1,0.15,TV,50054.8
183,2023-01-14,335,43,8,3,0.1,Laptop,55903.5
184,2023-10-02,4995,133,12,3,0.0,Laptop,70658.0
185,2023-03-12,4755,42,19,1,0.1,Smartphone,40984.2
186,2023-11-11,3312,34,10,1,0.0,Laptop,53066.0
187,2023-07-14,4539,73,19,2,0.1,Smartphone,48913.2
188,2023-12-19,1731,26,18,4,0.0,Smartphone,16132.0
189,2023-10-27,3854,82,13,1,0.2,Laptop,76446.4
190,2023-01-11,4862,17,14,2,0.15,Smartphone,18272.45
191,2023-04-16,1725,6,15,1,0.1,Smartphone,44026.2
192,2023-09-15,803,34,11,1,0.0,Laptop,53066.0
193,2023-07-15,912,53,18,3,0.1,Laptop,52607.7
194,2023-05-25,4167,95,16,4,0.05,Laptop,75148.8
195,2023-08-08,2979,148,12,4,0.0,Tablet,30253.0
196,2023-12-16,3505,139,18,3,0.15,Laptop,31048.8
197,2023-06-23,3068,94,7,1,0.0,Accessory,2831.0
198,2023-08-04,336,114,15,2,0.1,Accessory,2148.3
199,2023-04-03,4515,40,17,3,0.2,Accessory,2566.4
200,2023-09-17,3881,56,19,1,0.15,Tablet,20665.2
201,2023-03-04,4333,110,12,4,0.2,Smartphone,12004.8
202,2023-01-29,2016,21,11,2,0.0,Accessory,3928.0
203,2023-10-02,3660,100,10,2,0.15,Smartphone,22251.3
204,2023-12-13,4602,46,16,3,0.15,Tablet,37303.1
205,2023-10-12,399,67,18,1,0.15,Laptop,92850.6
206,2023-03-11,2659,92,10,1,0.05,Accessory,4444.1
207,2023-10-06,3395,4,14,2,0.1,Laptop,104726.7
208,2023-08-19,4098,116,16,4,0.2,Smartphone,31460.8
209,2023-10-29,3257,122,19,1,0.15,Smartphone,21196.45
210,2023-09-12,16,31,15,1,0.1,Smartphone,19227.6
211,2023-06-21,4375,74,16,3,0.0,Laptop,119117.0
212,2023-06-29,1577,145,13,2,0.0,Smartphone,22357.0
213,2023-09-21,2935,53,16,4,0.1,Laptop,52607.7
214,2023-07-02,378,8,5,3,0.15,Smartphone,18271.6
